,Dummy_application_id,ever60_24m_StrictFlag,NATURE_OF_ORGANISATION,OCCUPATION_TYPE,Max_dependent,LTV,Doc_form_16,income_max,income_sum,income_min,edu_max,edu_min,age_max,age_min,cnt_coapplicant,REQUESTED_TENURE,PROPERTY_INSURANCE_AMT,Organization_type,SALARIED_SELF,CHANNEL_CODE,City_tier,FOIR2,Loan_sub_type_1,SAL_FLAG,emi_income_max,emi_income_sum,All_No_of_TL,All_open_TL,All_Vin_bureau,All_min_Vin_bureau,All_Delq_TL_24_M,No_of_enq_All,Latest_Bureau_prd,Bureau_TL
0,4667539,0,Private Ltd. Co.,SALARIED,0,0.715563384,0,11396.0,11396.0,0.0,3,2,46,24,1,240.0,4553.0,3.Private Ltd Co,SALARIED,DSA,1,,Builder Ready,SAL,0.456037206,0.456037206,4,2,32,2,0,8,CC,2.<6 CC
1,4670001,0,Proprietor-Proprietorship Firm (Staff Less than 25),SELF-EMPLOYED,2,0.544463415,0,26472.0833,26472.0833,0.0,3,3,47,44,1,180.0,10307.0,3.Private Ltd Co,SELF_EMP,DSA,3,47.26110846,Self Construction,NONSAL,0.472611085,0.472611085,3,1,65,19,2,3,HL,7.<36 AL HL LAS
2,4670389,0,Proprietor-Proprietorship Firm (Staff Less than 25),SERVICES,6,0.566011892,0,23487.5,23487.5,0.0,3,3,35,35,1,240.0,7460.0,3.Private Ltd Co,SELF_EMP,CROSS SALES,3,48.66844066,Self Construction,NONSAL,0.486684407,0.486684407,2,2,47,37,0,2,BL_PSL,12.>36 PL TWL GL
3,4670395,0,Others,SALARIED,0,0.536454807,0,42270.0,42270.0,0.0,3,3,39,34,1,240.0,6744.0,1.Others,SALARIED,DSA,1,44.75987698,Builder UNC,SAL,0.44759877,0.44759877,2,1,94,69,0,2,AL,13.>36 Others
4,4670451,0,Private Ltd. Co.,SERV-PRIVATE SECTOR,1,0.511948925,0,17506.0,17506.0,0.0,3,3,32,28,1,324.0,0.0,3.Private Ltd Co,SALARIED,UBL Sales,1,61.91591454,Builder Ready,SAL,0.619159145,0.619159145,1,-999,87,87,0,2,CC,11.>36 CC
5,4670689,0,Private Ltd. Co.,SALESMAN,0,0.444153595,0,29800.0,29800.0,0.0,3,2,56,31,1,240.0,0.0,3.Private Ltd Co,SALARIED,DSA,1,27.78187919,Builder Ready,SAL,0.277818792,0.277818792,4,2,50,22,0,4,CL,10.<36 Others
6,4670885,0,MNC,SALARIED,0,0.305666667,0,18946.0,18946.0,0.0,4,3,61,26,1,240.0,0.0,5.MNC,SALARIED,CROSS SALES,2,37.23741159,Builder Ready,SAL,0.372374116,0.372374116,4,3,44,30,2,8,CC,9.<36 CC
7,4670957,0,Others,SALARIED,1,0.460384681,0,10260.0,10260.0,0.0,3,3,25,25,1,360.0,0.0,1.Others,SALARIED,CROSS SALES,2,59.72709552,Builder UNC,SAL,0.597270955,0.597270955,11,8,39,4,0,17,CC,2.<6 CC
8,4672293,0,Private Ltd. Co.,SALARIED,2,0.09699321,0,49766.0,49766.0,0.0,3,2,57,28,1,288.0,0.0,3.Private Ltd Co,SALARIED,ALTERNATE CHANNELS,2,22.31041273,Self Construction,SAL,0.058493751,0.058493751,1,1,5,5,0,3,Others,4.<6 BL CL Oth
9,4672465,0,Public Ltd. Co.,SAL(RETIRAL AGE 58),1,0.594123476,0,18505.0,25293.0,6788.0,4,3,36,31,1,240.0,0.0,4.Public Ltd. Co.,SALARIED,DSA,2,53.18862927,Builder UNC,SAL,0.726992705,0.531886293,4,2,50,3,0,7,CC,2.<6 CC
10,4672583,0,Private Ltd. Co.,SALARIED,0,0.391001892,0,39470.1667,39470.1667,0.0,4,3,41,40,1,180.0,8909.0,3.Private Ltd Co,SALARIED,UBL Sales,1,,Builder UNC,SAL,0.489280933,0.489280933,1,1,67,67,0,1,HL,13.>36 Others
11,4672617,0,Government,SALARIED,0,0.378364655,0,33317.0,33317.0,0.0,1,1,55,50,1,96.0,2935.0,2.Govt,SALARIED,CROSS SALES,2,48.9389801,Resale Ready,SAL,0.489389801,0.489389801,1,1,7,7,0,1,TWL,8.<36 TWL GL
12,4672695,0,Public Ltd. Co.,SAL(RETIRAL AGE 58),0,0.691141195,0,30880.0,58013.0,27133.0,3,3,28,28,1,240.0,10339.0,4.Public Ltd. Co.,SALARIED,DSA,3,48.45465671,Builder Ready,SAL,0.609261658,0.324306621,6,5,51,17,2,13,CL,10.<36 Others
13,4673193,0,Government,SALARIED,0,0.466666667,0,15100.0,15100.0,0.0,1,1,48,42,1,132.0,4000.0,2.Govt,SALARIED,CROSS SALES,2,60.02649007,Others+P_Cons,SAL,0.600264901,0.600264901,5,5,22,7,0,1,CC,9.<36 CC
14,4674031,0,Proprietor-Proprietorship Firm (Staff Less than 25),MANUFACTURING,0,0.669094767,0,23395.5,23395.5,0.0,4,2,39,32,1,240.0,0.0,3.Private Ltd Co,SELF_EMP,DSA,2,31.30516552,Builder Ready,NONSAL,0.313051655,0.313051655,1,-999,54,54,0,1,TWL,12.>36 PL TWL GL
15,4675041,0,Proprietor-Proprietorship Firm (Staff Less than 25),ATTORNEY AT LAW,3,0.411751614,0,19126.6667,19126.6667,0.0,3,1,55,31,1,240.0,10721.0,3.Private Ltd Co,SELF_EMP,CROSS SALES,3,99.83443691,Self Construction,NONSAL,0.499198326,0.499198326,2,2,8,8,0,3,BL,10.<36 Others
16,4675101,0,Proprietor-Proprietorship Firm (Staff Less than 25),TRADING,0,0.5478352,0,24658.3333,24658.3333,0.0,3,2,49,44,1,180.0,0.0,3.Private Ltd Co,SELF_EMP,UBL Sales,2,,Builder UNC,NONSAL,0.622588713,0.622588713,1,1,25,25,1,4,TWL,8.<36 TWL GL
