ever60_24m_StrictFlag,Doc_form_16,edu_max,age_max,age_min,REQUESTED_TENURE,Organization_type,City_tier,Loan_sub_type_1,SAL_FLAG,emi_income_sum,LTV_sq,LOG_income_sum,HAS_INSURANCE,CHANNEL_CODE_GROUPED,Bureau_prd_grouped,has_coapplicant,has_delinquency,enquiry_risk,dependent_band_encoded,no_of_loans,no_of_active_loans,emi_income_risk_flag,emi_stress_flag
0,0,3,46,24,20.0,2,1,0,1,0.456037206,0.5120309565215314,9.341105441855735,1,2,2,1,0,2,3,2,2,0,0
0,0,3,47,44,15.0,2,3,4,0,0.472611085,0.2964404102734622,10.183883771248281,1,2,1,1,1,1,1,2,1,0,0
0,0,3,35,35,20.0,2,3,4,0,0.486684407,0.3203694618854197,10.064266218653607,1,1,0,1,0,1,0,1,2,0,0
0,0,3,39,34,20.0,0,1,1,1,0.44759877,0.28778375995340727,10.651856550721268,1,2,1,1,0,1,3,1,1,0,0
0,0,3,32,28,27.0,2,1,0,1,0.619159145,0.2620917018086556,9.770356079932933,0,2,2,1,0,1,1,0,0,0,1
0,0,3,56,31,20.0,2,1,0,1,0.277818792,0.19727241595142403,10.30229722897745,0,2,2,1,0,1,3,2,2,0,0
0,0,4,61,26,20.0,4,2,0,1,0.372374116,0.09343211131488889,9.849400886632361,0,1,2,1,1,2,3,2,3,0,0
0,0,3,25,25,30.0,0,2,1,1,0.597270955,0.21195405449947177,9.236105579862208,0,1,2,1,0,0,1,4,4,0,1
0,0,3,57,28,24.0,2,2,4,1,0.058493751,0.016566845241043283,10.815107392760385,0,0,0,1,0,1,1,0,1,0,0
0,0,4,36,31,20.0,3,2,1,1,0.531886293,0.35298270473432264,10.138322492439922,0,2,2,1,0,2,1,2,2,0,0
0,0,4,41,40,15.0,2,1,1,1,0.489280933,0.15288247954757966,10.583325727378885,1,2,1,1,0,1,3,0,1,0,0
0,0,1,55,50,8.0,1,2,3,1,0.489389801,0.14315981215326903,10.413853070469662,1,1,1,1,0,1,3,0,1,0,0
0,0,3,28,28,20.0,3,3,0,1,0.324306621,0.4776761514260281,10.968439639711603,1,2,2,1,1,0,3,3,4,0,0
0,0,1,48,42,11.0,1,2,2,1,0.600264901,0.21777777808888887,9.62251624577579,1,1,2,1,0,1,3,3,4,0,1
0,0,4,39,32,20.0,2,2,0,0,0.313051655,0.44768780722678436,10.060341717509116,0,2,1,1,0,1,3,0,0,0,0
0,0,3,55,31,20.0,2,3,4,0,0.499198326,0.16953939163160497,9.858891084268658,1,1,0,1,0,1,2,1,2,0,0
0,0,3,49,44,15.0,2,2,1,0,0.622588713,0.30012340635903995,10.112910740667544,0,2,1,1,1,1,3,0,1,0,0
0,0,1,48,47,11.0,0,1,1,1,0.589908497,0.6886454907310089,9.858803944909488,1,1,2,1,0,0,3,3,3,0,0
0,0,3,47,39,12.0,1,1,0,1,0.249899866,0.3312890475440424,10.307651814911244,1,1,2,1,1,0,2,4,4,0,0
0,0,2,54,50,5.0,1,1,0,1,0.502021236,0.1403707675091569,9.828440678213218,1,1,2,1,0,1,1,0,1,0,0
0,0,3,59,30,20.0,2,1,1,0,0.352385389,0.45143550021025003,10.50982106474262,1,1,2,1,1,0,3,4,4,0,0
1,0,2,55,52,10.0,2,2,4,0,0.52612397,0.11341538671944011,10.224710174009973,0,1,0,1,1,1,3,0,0,0,0
0,0,2,44,42,20.0,2,2,0,0,0.585170913,0.6448710910606729,9.83324837079853,1,2,2,1,0,3,2,1,2,0,0
0,0,3,32,31,30.0,2,1,1,1,0.618035714,0.6255303915903729,10.239995502805316,1,2,2,1,0,1,1,1,0,0,0
0,0,3,40,33,20.0,3,2,3,1,0.347097914,0.6855830146803541,10.167158655026405,0,2,2,1,0,1,1,2,1,0,0
0,0,2,49,23,15.0,2,2,1,0,0.301385233,0.16678653565067533,10.456236963625702,1,1,0,1,1,2,2,2,2,0,0
0,0,3,48,39,17.0,0,3,1,0,0.384338235,0.3460207611072664,10.941686134643616,0,1,1,1,0,2,1,2,2,0,0
0,0,3,41,36,20.0,2,1,0,0,0.407652543,0.5270967521882612,10.082609550362667,1,2,2,1,0,1,1,0,0,0,0
0,0,2,58,31,20.0,2,1,0,1,0.453891892,0.08145469660084687,9.825580063659602,1,2,2,1,0,1,1,2,3,0,0
0,0,3,30,28,30.0,2,2,1,1,0.596953808,0.3515062556689369,9.904786708267748,0,2,2,1,0,2,3,3,3,0,0
0,0,3,35,30,20.0,2,3,1,0,0.226380634,0.11111111088888889,9.994340846983802,0,1,1,1,0,1,3,0,0,0,0
0,0,3,49,26,22.0,2,1,1,1,0.3865625,0.2953170702550738,10.373522431293592,0,1,2,1,0,3,3,2,1,0,0
0,0,2,29,24,30.0,0,1,1,0,0.639813777,0.39445846421859265,10.25000441188738,0,0,2,1,0,1,3,1,1,0,1
0,0,4,47,40,18.0,2,1,1,1,0.609415348,0.7501513927171936,9.622714888385282,1,2,0,1,0,1,1,0,1,0,1
0,0,2,43,40,15.0,2,2,0,1,0.5997,0.1642705461271809,9.90353755128617,0,2,2,1,0,1,1,1,2,0,0
0,0,3,49,26,20.0,4,2,2,1,0.381746811,0.18857711581128087,9.759848102334518,1,1,1,1,1,1,3,0,1,0,0
0,0,3,33,31,20.0,0,2,3,0,0.401589353,0.3836664203607506,10.049062280932276,0,2,2,1,0,1,1,2,0,0,0
1,0,2,39,38,26.0,2,2,0,0,0.489050223,0.515148740994277,9.878904515567129,0,2,2,1,0,2,3,0,0,0,0
0,0,2,38,36,30.0,2,2,3,0,0.584370641,0.08164926549814273,10.06387233135351,0,2,1,1,0,1,2,1,0,0,0
0,0,3,59,28,20.0,2,2,0,0,0.253338006,0.3942004958867621,10.003954865982823,0,2,1,1,0,1,3,3,2,0,0
0,0,3,46,24,20.0,3,1,1,1,0.438706053,0.6130139439172849,10.885631565871593,0,1,2,1,1,1,1,3,1,0,0
0,0,3,33,29,25.0,2,1,1,1,0.369440601,0.6931656681283298,9.627602289963859,1,2,2,1,0,1,3,0,1,0,0
0,0,2,36,34,20.0,2,1,1,0,0.465845171,0.25862848502120533,10.036509440385133,1,2,1,1,0,1,2,2,2,0,0
0,0,2,53,29,8.0,1,1,0,1,0.710009118,0.6694214873057851,9.89055427712423,0,1,2,1,1,2,2,2,3,0,1
